TXNAME,SYMBOL
ENSMUST00000228566.1,Adcy6
ENSMUST00000226236.1,Adcy6
ENSMUST00000228596.1,Adcy6
ENSMUST00000171456.8,Adcy7
ENSMUST00000098521.3,Adcy7
ENSMUST00000210688.1,Adcy7
ENSMUST00000168545.7,Adcy7
ENSMUST00000211311.1,Adcy7
ENSMUST00000169037.8,Adcy7
ENSMUST00000023007.6,Adcy8
ENSMUST00000228014.1,Adcy8
ENSMUST00000228109.1,Adcy8
ENSMUST00000117801.7,Adcy9
ENSMUST00000005719.3,Adcy9
ENSMUST00000120080.7,Adcy9
ENSMUST00000234663.1,Adcyap1
ENSMUST00000234204.1,Adcyap1
ENSMUST00000234646.1,Adcyap1
ENSMUST00000234081.1,Adcyap1
ENSMUST00000064775.7,Adcyap1
ENSMUST00000165786.1,Adcyap1r1
ENSMUST00000167234.7,Adcyap1r1
ENSMUST00000172084.7,Adcyap1r1
ENSMUST00000166962.7,Adcyap1r1
ENSMUST00000167484.1,Adcyap1r1
ENSMUST00000070736.11,Adcyap1r1
ENSMUST00000070756.11,Adcyap1r1
ENSMUST00000165857.7,Adcyap1r1
ENSMUST00000146295.7,Add1
ENSMUST00000145986.1,Add1
ENSMUST00000114335.7,Add1
ENSMUST00000001108.10,Add1
ENSMUST00000147574.7,Add1
ENSMUST00000152805.1,Add1
ENSMUST00000114338.8,Add1
ENSMUST00000135321.1,Add1
ENSMUST00000114340.8,Add1
ENSMUST00000144226.1,Add1
ENSMUST00000052836.13,Add1
ENSMUST00000139044.1,Add1
ENSMUST00000201810.3,Add1
ENSMUST00000137262.7,Add1
ENSMUST00000204059.2,Add2
ENSMUST00000203445.2,Add2
ENSMUST00000203724.2,Add2
ENSMUST00000203366.2,Add2
ENSMUST00000203196.2,Add2
ENSMUST00000205034.2,Add2
ENSMUST00000203279.1,Add2
ENSMUST00000032069.7,Add2
ENSMUST00000203786.2,Add2
ENSMUST00000203529.2,Add2
ENSMUST00000140382.2,Plin2
ENSMUST00000147097.2,Plin2
ENSMUST00000149700.7,Plin2
ENSMUST00000000466.12,Plin2
ENSMUST00000134094.1,Plin2
ENSMUST00000134437.1,Plin2
ENSMUST00000154999.1,Plin2
ENSMUST00000138605.1,Plin2
ENSMUST00000161799.1,Adh1
ENSMUST00000162032.7,Adh1
ENSMUST00000004232.9,Adh1
ENSMUST00000159159.1,Adh1
ENSMUST00000196133.1,Adh7
ENSMUST00000090171.6,Adh7
ENSMUST00000199865.1,Adh7
ENSMUST00000160201.1,Adh5
ENSMUST00000005964.6,Adh5
ENSMUST00000162024.1,Adh5
ENSMUST00000160625.7,Adh5
ENSMUST00000198126.1,Adh5
ENSMUST00000159392.1,Adh5
ENSMUST00000045376.10,Adk
ENSMUST00000223558.1,Adk
ENSMUST00000223861.1,Adk
ENSMUST00000225742.1,Adk
ENSMUST00000224899.1,Adk
ENSMUST00000224069.1,Adk
ENSMUST00000224974.1,Adk
ENSMUST00000223645.1,Adk
ENSMUST00000223641.1,Adk
ENSMUST00000223915.1,Adk
ENSMUST00000185766.1,Adm
ENSMUST00000033054.9,Adm
ENSMUST00000079692.5,Gpr182
ENSMUST00000217837.1,Cfd
ENSMUST00000061653.8,Cfd
ENSMUST00000057793.10,Adnp
ENSMUST00000088001.5,Adnp
ENSMUST00000139984.7,Adnp
ENSMUST00000131200.1,Adnp
ENSMUST00000169927.1,Adora1
ENSMUST00000187631.1,Adora1
ENSMUST00000086465.5,Adora1
ENSMUST00000038191.7,Adora1
ENSMUST00000219044.1,Adora2a
ENSMUST00000105420.2,Adora2a
ENSMUST00000219322.1,Adora2a
ENSMUST00000217703.1,Adora2a
ENSMUST00000018644.2,Adora2b
ENSMUST00000000574.2,Adora3
ENSMUST00000196748.1,Adora3
ENSMUST00000002923.9,Adprh
ENSMUST00000232145.1,Adprh
ENSMUST00000194608.1,Parp1
ENSMUST00000194434.1,Parp1
ENSMUST00000191639.1,Parp1
ENSMUST00000192411.1,Parp1
ENSMUST00000193238.1,Parp1
ENSMUST00000191833.1,Parp1
ENSMUST00000195560.1,Parp1
ENSMUST00000027777.11,Parp1
ENSMUST00000226880.1,Parp2
ENSMUST00000227705.1,Parp2
ENSMUST00000036126.6,Parp2
ENSMUST00000228872.1,Parp2
ENSMUST00000228833.1,Parp2
ENSMUST00000228624.1,Parp2
ENSMUST00000227810.1,Parp2
ENSMUST00000228672.1,Parp2
ENSMUST00000067258.8,Adra1b
ENSMUST00000139906.1,Adra1b
ENSMUST00000167574.1,Adra1b
ENSMUST00000124306.1,Adra1b
ENSMUST00000160647.1,Adra1a
ENSMUST00000225182.1,Adra1a
ENSMUST00000054661.7,Adra1a
ENSMUST00000159365.7,Adra1a
ENSMUST00000161339.1,Adra1a
ENSMUST00000159068.1,Adra1a
ENSMUST00000103184.3,Adra1d
ENSMUST00000036700.6,Adra2a
ENSMUST00000071902.4,Adra2b
ENSMUST00000104934.1,Adra2b
ENSMUST00000049545.6,Adra2c
ENSMUST00000038949.5,Adrb1
ENSMUST00000053640.4,Adrb2
ENSMUST00000117565.1,Adrb3
ENSMUST00000211346.1,Adrb3
ENSMUST00000121838.1,Adrb3
ENSMUST00000081438.9,Adrb3
ENSMUST00000199284.1,Adsl
ENSMUST00000170354.1,Adsl
