"PG.ProteinAccessions","PG.Genes","Veh.1","Veh.2","Veh.3","Veh.4","Veh.5","Veh.6","Veh.7","Veh.8","GDF15.1","GDF15.2","GDF15.3","GDF15.4","GDF15.5","GDF15.6","GDF15.7","CR.1","CR.2","CR.3","CR.4","CR.5","CR.6","CR.7","CR.8","CR.9","CR.10","CR.11","CR.12","CR.13","CR.14","CR.15","CR.16","Protein"
"Q8BFR2","Fstl5",40752.76953,53326.57813,55950.10547,48730.48047,51030.58984,43977.72656,48480.29297,74448.88281,63893.59766,62585.20703,63782.39063,60448.60156,66604.45313,59948.49609,74715.64063,51038.12109,60366.14453,58529.18359,61667.01172,61167.79688,97361.48438,100563.8281,95943.30469,,70176.44531,70671.5625,61386.13672,68587.25,67711.66406,63098.41406,67215.51563,"FSTL5"
"Q8BH00","Aldh8a1",21525.85938,,,9916.080078,14326.46191,13750.74219,16923.15625,16984.98828,,,,,,11651.03613,,6948.48584,,9552.441406,10375.93848,18492.75391,13368.62012,16083.51855,10735.99219,5858.214844,9538.860352,,,7035.863281,9004.335938,10660.73145,8420.5,"ALDH8A1"
"Q8BH35","C8b",66234.11719,117736.1953,104333.4922,60431.16016,57515.5,51436.07031,46537.04688,48289.44531,119375.1953,158359.2656,140026,101175.3125,118913.7266,49645.64844,76355.08594,75776.92969,87421.10938,74140.07031,73261.875,96961.05469,52386.54297,47840.36328,32313.01758,98931.11719,70146.15625,80716.52344,99066.69531,81882.26563,86828.69531,79856.50781,70166.64063,"C8B"
"Q8BH61","F13a1",563153.0625,646137.375,652458.25,616150.8125,549063.1875,593882.0625,511918.9375,579478.625,635705.5,589311.5,811298.625,641694.0625,779363.5,481182.4063,737981.4375,714480.8125,829474.6875,809283.3125,769654,657604.375,738137.75,606520.9375,270660.9375,800267.4375,667682.6875,807900.3125,921821.9375,692911.0625,715701.4375,352829.8438,675507,"F13A1"
"Q8BK48","Ces2e",56326.15234,56105.87109,56904.44922,64460.92188,63862.48828,58479.58594,54976.53125,74860.85156,65170.0625,51189.32813,66628.78125,55698.21484,59800.03516,54124.24219,48833.66406,49691.17188,60797.33984,49376.26172,46055.38281,70328.10938,49908.72266,40209.09375,43191.49219,52305.86719,56879.43359,68500.04688,52789.58203,53818.52734,51193.14844,61863.43359,50365.52344,"CES2E"
"Q8BND5","Qsox1",2092560.25,2072013.25,2159579.75,2075211.625,2106788,2217181.5,2238868,2360092,1893118.375,1814733,1866430.875,2088660.125,2111162.25,2346298.25,1741278.875,2024545.25,2022370.375,2086311.125,2039450.5,2390215.25,2038536.875,2310289,2218293.75,1945941.625,1890116.125,1767799.875,1855922.375,1794652.875,2067377.875,2369845.5,2043475.375,"QSOX1"
"Q8BPB5","Efemp1",177697.4688,159505.375,196499.5313,182588.5156,164025.8594,190534.2969,159860.1719,159542.3125,194040.0781,177513.4375,185940.0313,175632.25,177527.2969,155389.5313,185113.7344,195299.9219,221844.0938,212841.1094,198242.6406,232129.0781,194839.6563,172744.5313,175146.0469,187900.9688,211411.7813,178037.1094,213597.4375,217405.9375,195469.0156,167155.5469,212989.6406,"EFEMP1"
"Q8BSB7","Tfpi",105810.0078,117752.5156,93551.76563,92337.49219,94086.64844,99419.48438,98694.34375,90531.11719,124949.5469,104724.5078,120078.2891,106276.0156,133886.1094,105278.8828,80799.32813,109902.7891,97478.53125,107734.1563,116557.0078,123770.75,99108.45313,104623.3984,97601.97656,115349.4609,104952.2344,98209.27344,100871.9922,106467.6875,83909.07031,76782.83594,94470.53125,"TFPI"
"Q8BWT1","Acaa2",10888.45703,,,,9654.136719,,16281.34766,5915.258301,,,,,,,,,,,,,,,,,,,,,,,,"ACAA2"
"Q8BZ33","Tns4",286476.7188,309304.7813,373833.5313,272356.25,331703.2188,282667,289600.375,281047.8125,302591.3125,377901.5938,334844.4688,217882.3125,339136.375,205927.4844,226428.9844,273593,347312.1563,310588.3125,357725.9688,763083.75,281943.625,408289,308906.375,397386.6563,286170.2813,376481.875,338427.6875,319967.5313,370018.0938,254339.7656,269743.5625,"TNS4"
